Time(s) - Gen,Voltage(V) - Gen,Voltage(V) - R,Voltage(V) - L,Voltage(V) - C
0,-0.0402828,0.0292878,-0.0293318,0.0466805
4.00E-06,0.209012,0.26892,-0.05993,-0.0344852
8.00E-06,0.401942,0.429963,-0.0699147,-0.0315864
1.20E-05,0.470224,0.464748,-0.0573533,0.0102847
1.60E-05,0.401942,0.36007,-0.0277214,0.0656835
2.00E-05,0.209656,0.150392,0.0089964,0.11303
2.40E-05,-0.0415711,-0.10631,0.041205,0.132677
2.80E-05,-0.281525,-0.331448,0.0592418,0.122049
3.20E-05,-0.437415,-0.457062,0.0566651,0.0776007
3.60E-05,-0.464148,-0.446111,0.0354075,0.0164044
4.00E-05,-0.350452,-0.304393,0.00319885,-0.0431815
4.40E-05,-0.132399,-0.0718472,-0.0312644,-0.0850527
4.80E-05,0.120438,0.185178,-0.0557429,-0.097292
5.20E-05,0.341711,0.383583,-0.0625067,-0.0731355
5.60E-05,0.46185,0.468291,-0.0502674,-0.0232122
6.00E-05,0.44027,0.413215,-0.0212797,0.0415271
6.40E-05,0.290178,0.235745,0.0131835,0.0978922
6.80E-05,0.0528001,-0.0145159,0.0441038,0.131067
7.20E-05,-0.201004,-0.256402,0.0602081,0.132677
7.60E-05,-0.396832,-0.425498,0.0579535,0.101435
8.00E-05,-0.467691,-0.469623,0.0360516,0.0428154
8.40E-05,-0.406494,-0.36881,0.00223259,-0.0203134
8.80E-05,-0.222261,-0.161387,-0.033841,-0.0734576
9.20E-05,0.0334749,0.093705,-0.0592858,-0.0969699
9.60E-05,0.271819,0.32142,-0.0689484,-0.0879515
1.00E-04,0.433184,0.453798,-0.0567092,-0.0473687
0.000104,0.465393,0.450577,-0.0277214,0.0128614
0.000108,0.358138,0.312079,0.0102847,0.0763124
0.000112,0.145239,0.0830762,0.0457142,0.122371
0.000116,-0.112752,-0.173948,0.0669719,0.138475
0.00012,-0.336602,-0.37654,0.0679381,0.116895
0.000124,-0.460283,-0.467691,0.0479688,0.0708369
0.000128,-0.444501,-0.419378,0.0122173,0.00545345
0.000132,-0.298596,-0.247384,-0.0277214,-0.052522
0.000136,-0.0625067,-0.0003441,-0.0608963,-0.0902061
0.00014,0.190009,0.247018,-0.0766785,-0.0950374
0.000144,0.386481,0.420301,-0.0695926,-0.0644392
0.000148,0.469258,0.467325,-0.0425374,-0.0100067
0.000152,0.412248,0.377141,-0.00324287,0.0528001
0.000156,0.228981,0.173582,0.0376621,0.106266
0.00016,-0.0196693,-0.082476,0.067294,0.132677
0.000164,-0.260912,-0.312445,0.0766345,0.130423
0.000168,-0.428718,-0.449654,0.0627848,0.0904842
0.000172,-0.467691,-0.454163,0.0302541,0.0328308
0.000176,-0.370099,-0.320498,-0.0132275,-0.0344852
0.00018,-0.155912,-0.0931049,-0.052522,-0.0802214
0.000184,0.0998247,0.161987,-0.0766785,-0.0969699
0.000188,0.324319,0.370055,-0.0798993,-0.0798993
0.000192,0.455408,0.467325,-0.0602521,-0.0341631
0.000196,0.451221,0.428031,-0.0216018,0.0305762
0.0002,0.307248,0.256359,0.0218798,0.0885517
0.000204,0.0766345,0.00996265,0.0582756,0.126558
0.000208,-0.17878,-0.235467,0.0782449,0.133966
0.000212,-0.377829,-0.414869,0.0737357,0.109165
0.000216,-0.469623,-0.470267,0.0473246,0.0528001
0.00022,-0.41809,-0.384271,0.00609762,-0.00936251
0.000224,-0.241264,-0.184577,-0.0377061,-0.0631509
0.000228,0.00609762,0.0692265,-0.0705589,-0.0914944
0.000232,0.251205,0.303705,-0.0834423,-0.0911724
0.000236,0.423521,0.446067,-0.0718472,-0.0531662
0.00024,0.465393,0.45573,-0.0393165,0.00384302
0.000244,0.370699,0.329472,0.0041651,0.067294
0.000248,0.168751,0.1053,0.0457142,0.113352
0.000252,-0.0885957,-0.150758,0.0737357,0.133644
0.000256,-0.319209,-0.361402,0.0788891,0.11915
0.00026,-0.453197,-0.467047,0.0605302,0.0753461
0.000264,-0.452875,-0.433872,0.0241344,0.0135056
0.000268,-0.317277,-0.266387,-0.0206355,-0.0470466
0.000272,-0.0882736,-0.0219239,-0.0592858,-0.0863411
0.000276,0.167785,0.225438,-0.0805435,-0.0943932
0.00028,0.372954,0.407417,-0.0792552,-0.0663717
0.000284,0.467969,0.469258,-0.0541325,-0.0170926
0.000288,0.423199,0.390991,-0.0145159,0.0457142
0.000292,0.250883,0.194518,0.0296099,0.101435
0.000296,0.00513136,-0.0586417,0.0640731,0.130745
0.0003,-0.240942,-0.296341,0.0795332,0.131389
0.000304,-0.417767,-0.442246,0.0701928,0.093383
0.000308,-0.468657,-0.459317,0.0389504,0.03734
0.000312,-0.380728,-0.337568,-0.00356496,-0.0267552
0.000316,-0.178136,-0.116295,-0.0454361,-0.0753901
0.00032,0.0766345,0.139119,-0.0744239,-0.0963257
0.000324,0.308537,0.354273,-0.0815098,-0.0811877
0.000328,0.448966,0.46346,-0.0650834,-0.0386723
0.000332,0.456696,0.437371,-0.0293318,0.0222019
0.000336,0.325929,0.275684,0.0141498,0.0846866
0.00034,0.100791,0.0366958,0.0528001,0.122371
0.000344,-0.155912,-0.216142,0.0756682,0.132677
0.000348,-0.364301,-0.401663,0.0753461,0.108199
0.000352,-0.467691,-0.471878,0.0518338,0.0579535
0.000356,-0.42743,-0.396832,0.0128614,-0.00388705
0.00036,-0.2622,-0.204547,-0.0306202,-0.0612184
0.000364,-0.0164484,0.0470026,-0.0644392,-0.0895619
0.000368,0.231558,0.286313,-0.0811877,-0.0902061
0.000372,0.41096,0.437371,-0.0734576,-0.0554208
0.000376,0.468613,0.462172,-0.0441478,-0.00163244
0.00038,0.38777,0.347187,-0.0025987,0.0634289
0.000384,0.189687,0.127846,0.0395946,0.115607
0.000388,-0.0644392,-0.128534,0.0692265,0.134288
0.000392,-0.298918,-0.345942,0.0776007,0.12076
0.000396,-0.445467,-0.462537,0.0627848,0.0808216
